                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20250403"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                  max_conv_vel_div_csound                      max_gradT_div_grada                      max_gradT_sub_grada                        min_log_mlt_Gamma                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                          one_core_radius                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                      dt_div_max_tau_conv                                 log_Teff                                    log_L                                    log_R                                    log_g                           log_L_div_Ledd                             lum_div_Ledd                              v_surf_km_s                        v_div_csound_surf                      v_surf_div_escape_v                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                log_rotational_mdot_boost                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                           center_entropy                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                log_max_T                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err               log_total_angular_momentum                           min_Pgas_div_P                       gradT_excess_alpha                       max_L_rad_div_Ledd                              num_retries                                num_iters                    num_solver_iterations 
                                       1                                      669                  5.0000000000000001E-009                 -8.3010299956639795E+000                  1.1054802943912951E+000                  3.3342056915879297E+001                 -4.9999999999999991E+000                  5.0503068066521983E-001                  1.5320850140718991E+000                  1.1269804031051922E-001                  1.6695711450423361E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999917584359E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999917584359E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1054802943912951E+000                  1.1054802943912951E+000                  7.1604999477720881E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3309582759452231E+009                  1.5778800000000002E-100                  4.9538486905558399E+000                  4.7997513231081423E-001                 -2.1450566540917757E+000                  8.7717319410053083E+000                 -1.2928914347087383E-002                  9.7066883406046522E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.1865340708450045E+000                  7.8348154652512916E+000                  2.5097545347343047E+001                  2.5097545347343047E+001                  7.8348154652512916E+000                  8.1865340708450045E+000                  1.7977528089887642E+000                  4.9999999999999994E-001                  1.7777777777777779E+001                  7.1480473005499545E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-099                  1.0000000000000000E-099                  1.0000000000000000E-099                  4.9999999999999994E-001                  9.9998533671342907E-100                  5.0000000000000000E-001                  1.1054802943911302E-099                  1.1054802943911302E-099                  8.2876368063957848E+000                  2.1954193659377431E-013                 -1.2658482509172837E+001                 -1.2658482509172837E+001                 -9.8999999999999986E+001                  9.9207260386403184E-001                  0.0000000000000000E+000                  1.1095426341840492E-002                                        1                                       13                                       13 
                                       5                                      846                  3.0872000000000000E-008                 -8.1603962705291622E+000                  1.1054802943915538E+000                  3.3342056915879397E+001                 -4.9999999999999991E+000                  2.5432729607970739E-001                  1.6938734787669498E+000                  1.4157477764622090E-001                  2.6349937874899725E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999915017956E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999915017956E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1054802943915538E+000                  1.1054802943915538E+000                  7.1602783104997743E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8369326152533748E+009                  2.1812613120000000E-100                  4.9188765766225240E+000                  3.4005979093135907E-001                 -2.1450700969148713E+000                  8.7717588266516007E+000                  1.5496168190679211E-002                  1.0363254608217083E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.1864806995521331E+000                  7.8347073939189382E+000                  2.5097396030370618E+001                  2.5097396030370618E+001                  7.8347073939189382E+000                  8.1864806995521331E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777779E+001                  7.1480533676690261E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-099                  1.0000000000000000E-099                  1.0000000000000000E-099                  5.0000000000000000E-001                  9.9997736007898946E-100                  5.0000000000000000E-001                  1.1054802943912993E-099                  1.1054802943912993E-099                  8.2876588093385131E+000                  2.2632499187416835E-013                 -1.2645267486550106E+001                 -1.1944820647478677E+001                 -9.8999999999999986E+001                  9.9206542289026467E-001                  0.0000000000000000E+000                  1.1281961943011896E-002                                        1                                       10                                       10 
                                      10                                      846                  9.2595607040000001E-008                 -7.7644900402910384E+000                  1.1054802943921713E+000                  3.3342056915879638E+001                 -4.9999999999999991E+000                  2.5352461802506371E-001                  1.6918471003799971E+000                  1.4115454004825012E-001                  2.6458449972098466E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999914962090E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999914962090E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1054802943921713E+000                  1.1054802943921713E+000                  7.1602696821033950E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8538582441222360E+009                  5.4276761478758399E-100                  4.9178811447873461E+000                  3.3607701690865432E-001                 -2.1450706202558689E+000                  8.7717598733338384E+000                  1.4574321507695014E-002                  1.0341280578251875E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.1864810719459999E+000                  7.8347073923141153E+000                  2.5097396030369655E+001                  2.5097396030369655E+001                  7.8347073923141153E+000                  8.1864810719459999E+000                  1.7977528089887642E+000                  4.9999999999999994E-001                  1.7777777777777779E+001                  7.1480548066351457E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-099                  1.0000000000000000E-099                  1.0000000000000000E-099                  4.9999999999999994E-001                  9.9998838685435177E-100                  5.0000000000000000E-001                  1.1054802943920392E-099                  1.1054802943920392E-099                  8.2876588093419077E+000                  2.4688330419354927E-013                 -1.2607508278807567E+001                 -1.1622755164609258E+001                 -9.8999999999999986E+001                  9.9206971557193802E-001                  0.0000000000000000E+000                  1.1292050981354966E-002                                        1                                       10                                       10 
                                      15                                      853                  2.4618369290977278E-007                 -7.3685838100529146E+000                  1.1054802943937070E+000                  3.3342056915880242E+001                 -4.9999999999999991E+000                  2.5335975600747707E-001                  1.6913024090287632E+000                  1.4104707983671580E-001                  2.6495720679591268E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999917395899E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999917395899E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1054802943937070E+000                  1.1054802943937070E+000                  7.1602693222204729E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8606050204225130E+009                  1.3505795112282407E-099                  4.9174867446937647E+000                  3.3449937287810322E-001                 -2.1450706420839811E+000                  8.7717599169906677E+000                  1.4200195932402090E-002                  1.0332375856397242E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.1864821891002357E+000                  7.8347073875031166E+000                  2.5097396030371517E+001                  2.5097396030371517E+001                  7.8347073875031166E+000                  8.1864821891002357E+000                  1.7977528089887638E+000                  5.0000000000000000E-001                  1.7777777777777779E+001                  7.1480591233817303E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-099                  1.0000000000000000E-099                  1.0000000000000000E-099                  5.0000000000000000E-001                  9.9999362141148442E-100                  5.0000000000000000E-001                  1.1054802943936338E-099                  1.1054802943936338E-099                  8.2876588093556496E+000                  2.6468827111234767E-013                 -1.2577265302763792E+001                 -1.1441654123945581E+001                 -9.8999999999999986E+001                  9.9206541336072096E-001                  0.0000000000000000E+000                  1.1131579080701367E-002                                        1                                        3                                        3 
                                      20                                      859                  6.2835999874124567E-007                 -6.9726775798147909E+000                  1.1054802943975290E+000                  3.3342056915881741E+001                 -4.9999999999999991E+000                  2.5333761320882470E-001                  1.6916378272230663E+000                  1.4111589149577083E-001                  2.6479136539672861E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999918108518E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999918108518E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1054802943975290E+000                  1.1054802943975290E+000                  7.1602865769219808E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8578910168810246E+009                  3.3606740093794555E-099                  4.9176444481781143E+000                  3.3513227992465466E-001                 -2.1450695955294052E+000                  8.7717578238830161E+000                  1.4348384907586323E-002                  1.0335902047748211E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.1864823750784179E+000                  7.8347073867103854E+000                  2.5097396030383159E+001                  2.5097396030383159E+001                  7.8347073867103854E+000                  8.1864823750784179E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777779E+001                  7.1480598419958208E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000002E-099                  1.0000000000000002E-099                  1.0000000000000002E-099                  5.0000000000000000E-001                  9.9999081412894006E-100                  5.0000000000000000E-001                  1.1054802943974255E-099                  1.1054802943974255E-099                  8.2876588093788826E+000                  2.2871122455137134E-013                 -1.2640712520827881E+001                 -1.1320839824968457E+001                 -9.8999999999999986E+001                  9.9205498513125578E-001                  0.0000000000000000E+000                  1.1009342787235362E-002                                        1                                        3                                        3 
                                      25                                      859                  1.5793369440678162E-006                 -6.5767713495766662E+000                  1.1054802944070388E+000                  3.3342056915885479E+001                 -4.9999999999999991E+000                  2.5348487608414400E-001                  1.6932809310148735E+000                  1.4145882938448379E-001                  2.6405518271025570E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999919565863E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999919565863E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1054802944070388E+000                  1.1054802944070388E+000                  7.1603331380832641E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8465315197023916E+009                  8.3624323510190860E-099                  4.9183082075113465E+000                  3.3779296540852038E-001                 -2.1450667714539366E+000                  8.7717521757358163E+000                  1.4966686972326091E-002                  1.0350627680257569E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.1864830261709400E+000                  7.8347073839315868E+000                  2.5097396030418896E+001                  2.5097396030418896E+001                  7.8347073839315868E+000                  8.1864830261709400E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777779E+001                  7.1480623578017610E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-099                  1.0000000000000000E-099                  1.0000000000000000E-099                  5.0000000000000000E-001                  9.9998008498523390E-100                  5.0000000000000000E-001                  1.1054802944068136E-099                  1.1054802944068136E-099                  8.2876588094341272E+000                  2.5000376230466082E-013                 -1.2602053455584526E+001                 -1.1219986138410084E+001                 -9.8999999999999986E+001                  9.9202818327980624E-001                  0.0000000000000000E+000                  1.0955135534735365E-002                                        1                                        4                                        4 
                                      30                                      861                  3.9456718966628277E-006                 -6.1808651193385424E+000                  1.1054802944307021E+000                  3.3342056915894773E+001                 -4.9999999999999991E+000                  2.5399083682458085E-001                  1.6972665589411997E+000                  1.4230387614741880E-001                  2.6227237116920730E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999921813476E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999921813476E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1054802944307021E+000                  1.1054802944307021E+000                  7.1604501608186722E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8190288632658901E+009                  2.0808407667687810E-098                  4.9199321680077723E+000                  3.4430300279881265E-001                 -2.1450596737516414E+000                  8.7717379803405215E+000                  1.6418723065819232E-002                  1.0385292265463451E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.1864832106320176E+000                  7.8347073832046012E+000                  2.5097396030512162E+001                  2.5097396030512162E+001                  7.8347073832046012E+000                  8.1864832106320176E+000                  1.7977528089887638E+000                  5.0000000000000000E-001                  1.7777777777777775E+001                  7.1480630704309511E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-099                  1.0000000000000000E-099                  1.0000000000000000E-099                  5.0000000000000000E-001                  9.9970743795030828E-100                  5.0000000000000000E-001                  1.1054802944273923E-099                  1.1054802944273923E-099                  8.2876588095533723E+000                  2.5330777676908718E-013                 -1.2596351476786410E+001                 -1.1138107873478344E+001                 -9.8999999999999986E+001                  9.9195920456921904E-001                  0.0000000000000000E+000                  1.0958803830407897E-002                                        1                                        4                                        4 
                                      35                                      856                  9.8338704859040454E-006                 -5.7849588891004187E+000                  1.1054802944895838E+000                  3.3342056915917908E+001                 -4.9999999999999991E+000                  2.5511077984415703E-001                  1.7062783468239675E+000                  1.4429595062074863E-001                  2.5823625887379569E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999924239735E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999924239735E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1054802944895838E+000                  1.1054802944895838E+000                  7.1607466658527028E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7565411726592169E+009                  5.1777976967660916E-098                  4.9237139946912318E+000                  3.5946627594012759E-001                 -2.1450416905479033E+000                  8.7717020139561761E+000                  1.9418426069751228E-002                  1.0457272521077412E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.1864836687684583E+000                  7.8347073814020156E+000                  2.5097396030747838E+001                  2.5097396030747838E+001                  7.8347073814020156E+000                  8.1864836687684583E+000                  1.7977528089887638E+000                  5.0000000000000011E-001                  1.7777777777777782E+001                  7.1480648403928815E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-099                  1.0000000000000000E-099                  1.0000000000000000E-099                  5.0000000000000011E-001                  9.9995590450610613E-100                  5.0000000000000000E-001                  1.1054802944890827E-099                  1.1054802944890827E-099                  8.2876588098516262E+000                  2.3164812625630954E-013                 -1.2635171208345938E+001                 -1.1071053100096021E+001                 -9.8999999999999986E+001                  9.9178660970235655E-001                  0.0000000000000000E+000                  1.1090308843958535E-002                                        1                                        4                                        4 
                                      40                                      869                  2.4485592799484749E-005                 -5.3890526588622940E+000                  1.1054802946361011E+000                  3.3342056915975469E+001                 -4.9999999999999991E+000                  2.5739862154000404E-001                  1.7256200256804253E+000                  1.4917091064375471E-001                  2.4825059142855785E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999928633898E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999928633898E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1054802946361011E+000                  1.1054802946361011E+000                  7.1615427601987493E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6192834259609766E+009                  1.2884017564816999E-097                  4.9325116505990154E+000                  3.9475345938000295E-001                 -2.1449934106435338E+000                  8.7716054542049982E+000                  2.3501995155068379E-002                  1.0556063526754893E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.1864839890230119E+000                  7.8347073804539971E+000                  2.5097396031342694E+001                  2.5097396031342694E+001                  7.8347073804539971E+000                  8.1864839890230119E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777779E+001                  7.1480660770252469E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000002E-099                  1.0000000000000002E-099                  1.0000000000000002E-099                  5.0000000000000000E-001                  9.9940283911815738E-100                  5.0000000000000000E-001                  1.1054802946294754E-099                  1.1054802946294754E-099                  8.2876588105904858E+000                  2.2962900620908903E-013                 -1.2638973253726643E+001                 -1.1014246924156510E+001                 -9.8999999999999986E+001                  9.9129729123280907E-001                  0.0000000000000000E+000                  1.1678776261012241E-002                                        1                                        5                                        5 
