                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20250403"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                  max_conv_vel_div_csound                      max_gradT_div_grada                      max_gradT_sub_grada                        min_log_mlt_Gamma                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                          one_core_radius                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                      dt_div_max_tau_conv                                 log_Teff                                    log_L                                    log_R                                    log_g                           log_L_div_Ledd                             lum_div_Ledd                              v_surf_km_s                        v_div_csound_surf                      v_surf_div_escape_v                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                log_rotational_mdot_boost                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                           center_entropy                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                log_max_T                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err               log_total_angular_momentum                           min_Pgas_div_P                       gradT_excess_alpha                       max_L_rad_div_Ledd                              num_retries                                num_iters                    num_solver_iterations 
                                     217                                     1074                  2.4640288645036078E+004                  2.1470225206524423E+000                  1.3504802943912448E+000                  3.3428994161898146E+001                 -9.8999999999999986E+001                  8.7608936928536916E-003                  1.2852251386123030E+000                  8.0986239998577569E-002                  9.8999999999999986E+001                  0.0000000000000000E+000                  9.1139002641057365E-001                  1.8293159064542672E-001                  1.0000000000000000E+000                  9.9999999999997913E-001                  9.1139002641057365E-001                  1.8293159064542672E-001                  1.0000000000000000E+000                  9.9999999999997913E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.3504802943912448E+000                  1.3504802943912448E+000                  3.6055003238075309E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8552632221927750E+006                  4.4271729445905814E-090                  5.8879302412443719E+000                  3.6203457210497700E+000                 -2.4430344610993635E+000                  9.4546248010393370E+000                 -5.0749048515043271E-001                  3.1082039988602933E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.5369790191309534E+000                  9.2028882882689587E+000                  2.6951121405580146E+001                  2.6951121405580146E+001                  9.2028882882689587E+000                  8.5369790191309534E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777782E+001                  5.8504771204436146E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000002E-099                  1.0000000000000002E-099                  1.0000000000000002E-099                  5.0000000000000000E-001                  1.0000000000000004E-099                  5.0000000000000000E-001                  3.6475206830222252E-100                  3.6475206830222252E-100                  8.8306272826175665E+000                  2.3943579485725843E-012                 -1.1620810923491307E+001                 -5.3955743482223442E+000                 -9.8999999999999986E+001                  7.1380627943815700E-001                  0.0000000000000000E+000                  3.3219615258648655E-001                                        0                                       10                                       10 
                                     220                                     1052                  2.4914132080146508E+004                  1.8562924816282731E+000                  1.3504802943912448E+000                  3.3428994161898146E+001                 -9.8999999999999986E+001                  6.4316104651070665E-003                  1.2752338587766130E+000                  8.0956104480625846E-002                  9.8999999999999986E+001                  0.0000000000000000E+000                  8.9642975900864486E-001                  6.1279309611676591E-001                  1.0000000000000000E+000                  9.9999999999998124E-001                  8.9642975900864486E-001                  6.1279309611676591E-001                  1.0000000000000000E+000                  9.9999999999998124E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.3504802943912448E+000                  1.3504802943912448E+000                  3.4808987190659640E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9677167752593812E+006                  2.2667125476303780E-090                  5.8193453420050707E+000                  3.3154578205871430E+000                 -2.4583086128520737E+000                  9.4851731045447583E+000                 -5.4950090744821578E-001                  2.8216236873675971E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.5082156794180328E+000                  9.2080504171161550E+000                  2.6957918618587591E+001                  2.6957918618587591E+001                  9.2080504171161550E+000                  8.5082156794180328E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777782E+001                  5.7340702611199945E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000002E-099                  1.0000000000000002E-099                  1.0000000000000002E-099                  5.0000000000000000E-001                  1.0000000000000004E-099                  5.0000000000000000E-001                  1.3504802943912449E-099                  1.3504802943912449E-099                  8.7875457275745372E+000                  5.4302227756636637E-013                 -1.2265182353052625E+001                 -5.3960056110884311E+000                 -9.8999999999999986E+001                  7.9670278891462831E-001                  0.0000000000000000E+000                  2.3857132964010169E-001                                        0                                        9                                        9 
                                     225                                     1049                  2.5302891740099360E+004                  1.9730518473578749E+000                  1.3504802943912448E+000                  3.3428994161898146E+001                 -9.8999999999999986E+001                  8.7369921249408778E-003                  1.2813324129552959E+000                  8.3670407687733317E-002                  9.8999999999999986E+001                  0.0000000000000000E+000                  8.8531240285252366E-001                  7.2179145734833983E-001                  1.0000000000000000E+000                  9.9999999999998190E-001                  8.8531240285252366E-001                  7.2179145734833983E-001                  1.0000000000000000E+000                  9.9999999999998190E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.3504802943912448E+000                  1.3504802943912448E+000                  3.3999585409583396E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0321107929659519E+007                  2.9658952907520520E-090                  5.7675291373936437E+000                  3.0877574704343305E+000                 -2.4685263787056262E+000                  9.5056086362518624E+000                 -6.4514376656545769E-001                  2.2638947557004446E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.4858836163843456E+000                  9.2127380771207257E+000                  2.6964112255774900E+001                  2.6964112255774900E+001                  9.2127380771207257E+000                  8.4858836163843456E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777782E+001                  5.6427692213520242E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000002E-099                  1.0000000000000002E-099                  1.0000000000000002E-099                  5.0000000000000000E-001                  1.0000000000000004E-099                  5.0000000000000000E-001                  1.3504802943912449E-099                  1.3504802943912449E-099                  8.7377367899235630E+000                  5.6810012430637962E-013                 -1.2245575115694455E+001                 -5.3963960937813882E+000                 -9.8999999999999986E+001                  8.4202330315626461E-001                  0.0000000000000000E+000                  1.8655534830493128E-001                                        0                                        8                                        8 
                                     230                                     1036                  2.5917493889024066E+004                  2.1121762511752569E+000                  1.3504802943912448E+000                  3.3428994161898146E+001                 -9.8999999999999986E+001                  1.3763181770551624E-002                  1.3062066874623055E+000                  9.0577158786588119E-002                  9.8999999999999986E+001                  0.0000000000000000E+000                  8.7399288609354264E-001                  7.6958527835713098E-001                  1.0000000000000000E+000                  9.9999999999998246E-001                  8.7399288609354264E-001                  7.6958527835713098E-001                  1.0000000000000000E+000                  9.9999999999998246E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.3504802943912448E+000                  1.3504802943912448E+000                  3.3306387071702311E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8354987482342947E+007                  4.0858292978950148E-090                  5.7117317664027931E+000                  2.8466757937182545E+000                 -2.4774724750819614E+000                  9.5235008290045329E+000                 -7.4518414649154452E-001                  1.7981083322199154E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.4652959883397116E+000                  9.2174393366767138E+000                  2.6970334973519350E+001                  2.6970334973519350E+001                  9.2174393366767138E+000                  8.4652959883397116E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777782E+001                  5.5581212233461819E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000002E-099                  1.0000000000000002E-099                  1.0000000000000002E-099                  5.0000000000000000E-001                  1.0000000000000004E-099                  5.0000000000000000E-001                  1.3504802943912449E-099                  1.3504802943912449E-099                  8.6774195636846034E+000                  5.9630760216893556E-013                 -1.2224529653912731E+001                 -5.3967834455288743E+000                 -9.8999999999999986E+001                  8.7852345437660950E-001                  0.0000000000000000E+000                  1.4424222259122355E-001                                        0                                        4                                        4 
                                     235                                     1016                  2.6679205066465453E+004                  2.1759975876727662E+000                  1.3504802943912448E+000                  3.3428994161898146E+001                 -9.8999999999999986E+001                  2.3471635502600893E-002                  1.3425257651248204E+000                  9.9706075737322319E-002                  9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999998268E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999998268E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.3504802943912448E+000                  1.3504802943912448E+000                  3.2796322881216001E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1771397783262409E+007                  4.7326191286591000E-090                  5.6571879876894053E+000                  2.6150959358471773E+000                 -2.4841748465907254E+000                  9.5369055720220626E+000                 -8.3918963441459649E-001                  1.4481393863119610E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.4492899745264189E+000                  9.2211632140994446E+000                  2.6975267755261722E+001                  2.6975267755261722E+001                  9.2211632140994446E+000                  8.4492899745264189E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777782E+001                  5.4923136406277695E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000002E-099                  1.0000000000000002E-099                  1.0000000000000002E-099                  5.0000000000000000E-001                  1.0000000000000004E-099                  5.0000000000000000E-001                  1.3504802943912449E-099                  1.3504802943912449E-099                  8.6208334379745306E+000                  5.0716933564302120E-013                 -1.2294847012546699E+001                 -5.3970850822660248E+000                 -9.8999999999999986E+001                  9.0508550175586633E-001                  0.0000000000000000E+000                  1.1321390262580751E-001                                        0                                        3                                        3 
                                     240                                     1008                  2.7584771229754930E+004                  2.2498758442193330E+000                  1.3504802943912448E+000                  3.3428994161898146E+001                 -9.8999999999999986E+001                  4.0789694137845625E-002                  1.3867438849826637E+000                  1.1066334183297505E-001                  9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999998268E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999998268E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.3504802943912448E+000                  1.3504802943912448E+000                  3.2405248224082238E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4451366904516906E+007                  5.6102189565631955E-090                  5.6026022222803444E+000                  2.3863332723844755E+000                 -2.4893846475039543E+000                  9.5473251738485185E+000                 -9.2557857372165186E-001                  1.1869199408798331E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.4362569182019076E+000                  9.2241322843035061E+000                  2.6979201411936341E+001                  2.6979201411936341E+001                  9.2241322843035061E+000                  8.4362569182019076E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777782E+001                  5.4389195608532515E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000002E-099                  1.0000000000000002E-099                  1.0000000000000002E-099                  5.0000000000000000E-001                  1.0000000000000004E-099                  5.0000000000000000E-001                  1.3504802943912449E-099                  1.3504802943912449E-099                  8.5698018993514946E+000                  5.4208205070085081E-013                 -1.2265934972742706E+001                 -5.3973211652898527E+000                 -9.8999999999999986E+001                  9.2495888832219020E-001                  0.0000000000000000E+000                  9.0063337563135323E-002                                        0                                        3                                        3 
                                     245                                      998                  2.8664317650067926E+004                  2.3318464573652533E+000                  1.3504802943912448E+000                  3.3428994161898146E+001                 -9.8999999999999986E+001                  7.4441402188883787E-002                  1.4874620610508735E+000                  1.3739771920207711E-001                  9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999998235E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999998235E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.3504802943912448E+000                  1.3504802943912448E+000                  3.2095496902889010E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1821970871326566E+007                  6.7756415794551994E-090                  5.5489962028259381E+000                  2.1635666972247751E+000                 -2.4935558961749917E+000                  9.5556676711905943E+000                 -9.7613288186953839E-001                  1.0564942023094086E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.4250070029860726E+000                  9.2266067549498914E+000                  2.6982479649741084E+001                  2.6982479649741084E+001                  9.2266067549498914E+000                  8.4250070029860726E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777782E+001                  5.3930407342805775E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000002E-099                  1.0000000000000002E-099                  1.0000000000000002E-099                  5.0000000000000000E-001                  1.0000000000000004E-099                  5.0000000000000000E-001                  1.3504802943912449E-099                  1.3504802943912449E-099                  8.5231720326151184E+000                  5.8598261123486723E-013                 -1.2232115271280188E+001                 -5.3975144427534776E+000                 -9.8999999999999986E+001                  9.3881758885651878E-001                  0.0000000000000000E+000                  7.5065022659275615E-002                                        0                                        3                                        3 
                                     250                                      988                  3.0070693145100970E+004                  2.4920792467118482E+000                  1.3504802943912448E+000                  3.3428994161898146E+001                 -9.8999999999999986E+001                  2.9522516509237845E-001                  1.9463245376433920E+000                  2.2495378934049348E-001                  9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999996569E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999996569E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.3504802943912448E+000                  1.3504802943912448E+000                  3.1825399876115154E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5748589948397407E+008                  9.7990328547439026E-090                  5.4931751125904400E+000                  1.9329418668991869E+000                 -2.4972261308667894E+000                  9.5630081405741905E+000                 -3.1491369222622118E-001                  4.8426859720123083E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.4141498914253443E+000                  9.2289036870580397E+000                  2.6985522327265979E+001                  2.6985522327265979E+001                  9.2289036870580397E+000                  8.4141498914253443E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777782E+001                  5.3489680770135539E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000002E-099                  1.0000000000000002E-099                  1.0000000000000002E-099                  5.0000000000000000E-001                  1.0000000000000004E-099                  5.0000000000000000E-001                  1.3504802943912447E-099                  1.3504802943912447E-099                  8.4763662046372996E+000                  5.0276959461417741E-013                 -1.2298630994491575E+001                 -5.3976909170585143E+000                 -9.8999999999999986E+001                  9.6336222853984610E-001                  0.0000000000000000E+000                  4.4175864275669073E-002                                        0                                        4                                        4 
                                     255                                      977                  3.1891186127077675E+004                  2.6480235560584546E+000                  1.3504802943912448E+000                  3.3428994161898146E+001                 -9.8999999999999986E+001                  2.8038491161501872E-001                  1.7393031618524981E+000                  1.6964887847484567E-001                  9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999943057E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999943057E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.3504802943912448E+000                  1.3504802943912448E+000                  3.1589638733211900E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7408798967074883E+008                  1.4032256772850868E-089                  5.4354349374547182E+000                  1.6955227465624316E+000                 -2.5004553407637244E+000                  9.5694665603680598E+000                 -4.5969429719347919E-003                  9.8947097005826479E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  8.4036624699619136E+000                  9.2310324317791554E+000                  2.6988341767697623E+001                  2.6988341767697623E+001                  9.2310324317791554E+000                  8.4036624699619136E+000                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777782E+001                  5.3065913741205095E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000002E-099                  1.0000000000000002E-099                  1.0000000000000002E-099                  5.0000000000000000E-001                  1.0000000000000004E-099                  5.0000000000000000E-001                  1.3504802943912447E-099                  1.3504802943912447E-099                  8.4299555453105359E+000                  5.2788778629105607E-013                 -1.2277458386128915E+001                 -5.3978519064913693E+000                 -9.8999999999999986E+001                  9.7899547872337966E-001                  0.0000000000000000E+000                  2.8781811736617161E-002                                        0                                        5                                        5 
